filename,ID,count_StoExon,count_StoEnd,count_ExontoEnd,psi
TCGA-14-0789-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0789,31,40,26,0.583941605839416
TCGA-14-0790-01B-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0790,58,136,108,0.621004566210046
TCGA-14-0817-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0817,37,43,48,0.502923976608187
TCGA-14-0871-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-0871,0,2,2,0.666666666666667
TCGA-14-1034-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1034,92,191,90,0.677304964539007
TCGA-14-1034-02B-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1034,16,66,10,0.835443037974684
TCGA-14-1402-02A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1402,36,55,39,0.594594594594595
TCGA-14-1823-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1823,62,43,49,0.436548223350254
TCGA-14-1825-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1825,11,24,13,0.666666666666667
TCGA-14-1829-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-1829,46,69,71,0.541176470588235
TCGA-14-2554-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-14-2554,90,76,88,0.460606060606061
TCGA-15-0742-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-15-0742,13,44,12,0.778761061946903
TCGA-15-1444-01A-02R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-15-1444,113,94,124,0.442352941176471
TCGA-16-0846-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-16-0846,86,37,128,0.256944444444444
TCGA-16-1045-01B-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-16-1045,70,140,59,0.684596577017115
TCGA-19-0957-02A-11R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-0957,33,32,40,0.467153284671533
TCGA-19-1389-02A-21R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-1389,21,25,18,0.561797752808989
TCGA-19-1390-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-1390,20,20,21,0.493827160493827
TCGA-19-1787-01B-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-1787,83,87,98,0.490140845070423
TCGA-19-2619-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-2619,44,183,55,0.787096774193548
TCGA-19-2620-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-2620,30,55,32,0.63953488372093
TCGA-19-2624-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-2624,16,42,10,0.763636363636364
TCGA-19-2625-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-2625,27,46,35,0.597402597402597
TCGA-19-2629-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-2629,30,43,34,0.573333333333333
TCGA-19-4065-01A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-4065,48,34,79,0.348717948717949
TCGA-19-4065-02A-11R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-4065,38,19,30,0.358490566037736
TCGA-19-5960-01A-11R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-19-5960,16,14,23,0.417910447761194
TCGA-26-1442-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-1442,45,24,46,0.345323741007194
TCGA-26-5132-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-5132,28,86,22,0.774774774774775
TCGA-26-5133-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-5133,28,49,29,0.632258064516129
TCGA-26-5134-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-5134,6,4,8,0.363636363636364
TCGA-26-5135-01A-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-5135,25,36,17,0.631578947368421
TCGA-26-5136-01B-01R-1850-01_gdc_realn_rehead_junc_itga6.txt,TCGA-26-5136,14,20,6,0.666666666666667
