ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS110,R110,D,CD47,32,510.656,25,102.16,33,74.0606,32,510.656,58,86.17241034,32,361.406,25,11.56,33,5.84848,32,361.406,58,8.310342069,0.168748454,0.022994477,NG2016,77,20,419,69,122,7,8,322,3,17,0.155241935,0.021276596,0.187223543,-0.13396534
PS111,R111,D,CD47,32,704.875,25,260.16,33,211.97,32,704.875,58,232.7415517,32,439.875,25,78.32,33,82.8788,32,439.875,58,80.9138,0.330188405,0.183947258,NG2016,183,15,375,213,280,84,19,353,63,94,0.327956989,0.19221968,0.527530467,-0.13573731
PS112,R112,D,CD47,32,1288.5,25,123.96,33,90.1212,32,1288.5,58,104.7068897,32,1500.78,25,70.84,33,51.7273,32,1500.78,58,59.96553276,0.081262623,0.039956245,NG2016,98,46,1135,76,171,48,51,1453,31,121,0.079480941,0.031978681,0.518742709,-0.04750226
PS113,R113,D,CD47,32,333.75,25,12.92,33,8.42424,32,333.75,58,10.36206759,32,865.344,25,31.36,33,15.2727,32,865.344,58,22.20688103,0.031047394,0.025662489,NG2016,8,5,278,7,26,18,20,777,16,44,0.027972028,0.022641509,0.665768783,-0.005330519
PS114,R114,D,CD47,32,210.031,25,11.88,33,15.8182,32,210.031,58,14.1207,32,386.656,25,60.24,33,60.2424,32,386.656,58,60.24136552,0.067231504,0.155800933,NG2016,13,2,118,14,15,48,3,292,51,63,0.099236641,0.141176471,1.505858171,0.041939829
PS117,PS117,F,CD47,32,965.812,25,66.16,33,42,32,965.812,58,52.4137931,32,804.469,25,44.48,33,31.3333,32,804.469,58,36.99998103,0.054269147,0.045993048,CGGA,18,31,908,11,40,16,18,749,11,28,0.019438445,0.020915033,0.921955365,0.001476588
PS118,PS118,F,CD47,32,356.031,25,20.16,33,21.0303,32,356.031,58,20.65517069,32,360.062,25,57.24,33,62.0909,32,360.062,58,59.99999483,0.058015091,0.166637954,CGGA,13,12,335,5,14,41,8,304,34,43,0.037356322,0.11884058,3.133590238,0.081484258
PS122,PS122,F,CD47,32,604.219,25,17.88,33,18.4848,32,604.219,58,18.22411034,32,596.094,25,37.4,33,31.4242,32,596.094,58,33.99997586,0.030161432,0.057037943,CGGA,18,24,603,2,19,21,20,508,15,35,0.028985507,0.039697543,1.754941509,0.010712035
PS123,PS123,F,CD47,32,511.812,25,24,33,18.7576,32,511.812,58,21.01725517,32,293.625,25,148.92,33,131.727,32,293.625,58,139.1377759,0.041064405,0.473862157,CGGA,15,11,469,13,34,130,2,131,127,151,0.030991736,0.498084291,10.42383583,0.467092556
PS124,PS124,F,CD47,32,201.844,25,6.28,33,6.87879,32,201.844,58,6.620690862,32,192.25,25,43,33,42.5152,32,192.25,58,42.72416552,0.032801029,0.22223233,CGGA,6,7,198,3,6,37,7,148,33,38,0.029411765,0.2,6.873315364,0.170588235
PS125,PS125,F,CD47,32,250.594,25,22.76,33,40.4545,32,250.594,58,32.82756034,32,190.594,25,23.96,33,19.4848,32,190.594,58,21.41376552,0.130998988,0.112352779,CGGA,16,3,182,14,23,18,2,172,17,25,0.080808081,0.094736842,1.148148148,0.013928761
